,boro_nm,ofns_desc,latitude,longitude,zip,law_category,date
352988,MANHATTAN,HARRASSMENT 2,40.710554,-74.008404,10003,VIOLATION,2022-09-03
352992,BROOKLYN,DANGEROUS WEAPONS,40.697126,-73.943737,11206,FELONY,2022-09-03
352996,BRONX,HARRASSMENT 2,40.824146,-73.875749,10472,VIOLATION,2022-09-03
352997,MANHATTAN,GRAND LARCENY,40.76171909,-73.98280655,10019,FELONY,2022-09-02
353000,BRONX,ROBBERY,40.832218,-73.906377,10456,FELONY,2022-09-01
353003,MANHATTAN,HARRASSMENT 2,40.76263,-73.974213,10022,VIOLATION,2022-09-01
353005,BROOKLYN,PETIT LARCENY,40.656032,-73.940046,11203,MISDEMEANOR,2022-09-03
353006,QUEENS,HARRASSMENT 2,40.760948,-73.932239,11106,VIOLATION,2022-09-01
353008,BRONX,ASSAULT 3 & RELATED OFFENSES,40.830256,-73.906205,10456,MISDEMEANOR,2022-09-03
353011,MANHATTAN,PETIT LARCENY,40.735027,-73.991235,10003,MISDEMEANOR,2022-09-04
353013,QUEENS,PETIT LARCENY,40.733729,-73.871197,11373,MISDEMEANOR,2022-09-01
353014,QUEENS,ROBBERY,40.74880182,-73.86308174,11368,FELONY,2022-09-02
353015,QUEENS,PETIT LARCENY,40.781659,-73.832201,11357,MISDEMEANOR,2022-09-02
353016,BRONX,HARRASSMENT 2,40.844258,-73.908515,10457,VIOLATION,2022-09-01
353017,BRONX,HARRASSMENT 2,40.816778,-73.850663,10473,VIOLATION,2022-09-02
353019,MANHATTAN,PETIT LARCENY,40.808392,-73.942928,10027,MISDEMEANOR,2022-09-03
353021,BRONX,HARRASSMENT 2,40.830243,-73.863598,10472,VIOLATION,2022-09-02
353026,BROOKLYN,PETIT LARCENY,40.64129,-73.987393,11218,MISDEMEANOR,2022-09-04
353028,MANHATTAN,GRAND LARCENY,40.793665,-73.972507,10025,FELONY,2022-09-03
353030,QUEENS,CRIMINAL MISCHIEF & RELATED OF,40.704339,-73.758627,11412,MISDEMEANOR,2022-09-03
353031,MANHATTAN,ROBBERY,40.811548,-73.954423,10027,FELONY,2022-09-03
353033,MANHATTAN,HARRASSMENT 2,40.821935,-73.952508,10031,VIOLATION,2022-09-01
353035,STATEN ISLAND,PETIT LARCENY,40.613717,-74.084818,10304,MISDEMEANOR,2022-09-04
353038,QUEENS,CRIMINAL MISCHIEF & RELATED OF,40.769552,-73.929518,11102,MISDEMEANOR,2022-09-01
